Season,FGM < 5FT,FGA < 5FT,FG% < 5FT,FGM 5-9FT,FGA 5-9FT,FG% 5-9FT,FGM 10-14FT,FGA 10-14FT,FG% 10-14FT,FGM 15-19FT,FGA 15-19FT,FG% 15-19FT,FGM 20-24FT,FGA 20-24FT,FG% 20-24FT,FGM 25-29FT,FGA 25-29FT,FG% 25-29FT
2014-15,17.2,27.6,62.2,3.0,7.9,37.5,3.4,8.5,39.9,6.8,17.2,39.8,4.6,12.3,37.3,3.3,8.9,36.8
2015-16,18.4,31.0,59.3,2.6,6.8,38.3,2.2,5.1,42.8,4.3,10.3,41.4,8.1,21.9,37.0,3.0,9.0,33.5
2015-16,19.0,32.6,58.3,3.2,8.4,37.8,2.5,6.7,37.4,4.1,11.4,36.3,6.4,17.7,36.3,4.0,12.2,32.6
2015-16,16.6,28.9,57.3,5.6,12.9,43.5,3.0,7.2,41.2,5.2,13.3,39.2,5.6,15.3,36.8,2.3,6.6,34.6
2015-16,14.8,25.9,57.1,3.4,8.1,41.8,2.3,6.3,37.0,4.7,11.6,40.4,6.3,16.0,39.3,5.5,16.2,34.1
2015-16,16.7,30.5,54.7,3.4,9.1,37.9,3.0,7.9,38.3,5.9,14.3,41.3,6.3,16.0,39.2,3.3,9.3,35.2
2015-16,16.7,26.9,62.4,3.6,9.1,39.5,2.3,6.2,36.4,4.1,9.1,45.1,7.1,19.0,37.5,4.8,13.4,35.9
2015-16,14.9,24.7,60.3,3.1,8.2,38.0,3.1,7.3,42.7,5.1,12.0,42.6,7.9,21.4,36.8,3.2,10.0,31.9
2015-16,19.5,35.4,55.2,2.9,7.4,38.8,1.9,5.2,36.6,3.6,9.2,38.7,6.2,16.9,36.6,3.6,10.9,33.1
2015-16,16.9,29.7,56.9,4.5,11.5,38.7,2.9,7.1,40.3,4.0,9.7,41.1,5.0,13.6,36.9,4.7,14.0,33.4
2015-16,18.7,30.2,61.7,2.6,6.9,37.7,2.9,6.8,43.4,3.8,8.8,43.6,6.9,16.7,41.4,7.2,17.0,42.7
2015-16,19.3,32.6,59.1,3.0,7.9,38.6,1.8,4.3,42.3,2.4,6.2,39.0,7.6,21.2,35.8,3.6,10.8,33.2
2015-16,16.7,27.4,60.8,2.9,7.0,41.6,3.0,7.2,40.9,6.1,16.1,38.0,5.9,16.4,36.0,3.7,10.6,34.8
2015-16,15.7,24.9,63.3,2.2,5.5,40.1,2.3,5.5,41.7,6.3,14.8,42.4,7.1,17.9,39.4,4.5,12.9,35.0
2015-16,14.6,26.6,55.1,3.7,8.8,41.8,3.0,8.0,37.2,5.0,13.5,36.7,5.3,16.2,32.8,3.4,11.0,31.2
2015-16,17.5,31.9,54.7,4.0,10.1,39.4,2.8,7.0,39.8,4.8,12.1,39.9,5.5,15.1,36.3,2.3,7.0,32.2
2015-16,18.4,29.1,63.3,3.7,9.2,40.6,3.2,7.9,40.6,5.8,14.5,40.1,5.7,15.4,37.1,1.5,5.1,28.8
2015-16,21.0,35.9,58.4,3.8,9.7,39.2,2.9,6.8,41.8,4.3,11.6,37.4,3.8,10.5,36.4,2.5,7.2,34.7
2015-16,17.8,28.6,62.0,3.6,8.6,41.9,2.4,6.2,38.0,5.9,15.2,38.6,6.0,15.4,38.9,2.2,7.0,30.8
2015-16,17.1,30.1,56.6,3.2,8.3,38.8,2.6,6.8,38.0,5.3,12.6,41.8,6.2,16.6,37.5,4.0,11.0,36.7
2015-16,14.0,25.2,55.6,3.6,8.3,42.8,3.7,9.3,39.5,6.5,15.1,42.8,6.1,16.3,37.2,3.0,9.4,32.5
2015-16,19.5,32.6,59.6,3.2,6.8,46.8,4.0,8.5,47.1,5.5,12.4,44.1,6.0,17.3,35.0,2.9,8.3,35.1
2015-16,17.3,29.4,58.8,3.9,9.3,41.6,2.6,6.3,40.7,6.3,14.8,42.5,6.0,16.2,37.2,3.5,10.3,34.0
2015-16,18.0,31.5,57.0,3.2,8.5,37.5,2.3,6.3,36.2,2.7,8.1,33.4,5.0,14.0,35.8,5.0,15.0,33.1
2015-16,17.3,30.5,56.7,3.0,8.1,36.6,2.5,6.0,41.8,4.1,11.4,35.8,6.5,18.0,36.3,3.8,11.0,34.2
2015-16,16.2,28.9,55.9,2.7,7.0,39.3,2.6,5.9,43.6,5.0,11.7,42.9,8.1,20.7,39.3,3.9,11.1,35.2
2015-16,20.2,33.9,59.7,4.2,11.0,38.3,1.7,4.2,40.1,4.0,10.0,39.5,6.3,16.6,38.0,3.6,10.2,35.4
2015-16,16.7,26.2,63.7,4.4,10.1,43.8,3.8,8.6,43.7,7.0,16.3,43.2,5.7,14.4,39.9,2.4,6.8,35.1
2015-16,16.8,29.2,57.5,3.5,8.5,41.1,2.8,7.1,39.6,4.0,10.2,39.4,5.9,15.9,36.9,3.6,9.8,37.1
2015-16,16.2,28.0,57.8,3.7,8.9,42.3,3.1,7.7,39.9,3.6,9.3,38.8,7.5,20.6,36.3,2.0,5.7,35.2
2015-16,17.3,28.6,60.7,3.1,7.4,41.9,3.1,7.3,42.9,5.6,14.4,39.2,5.7,14.7,38.9,4.5,12.8,35.0
2016-17,18.3,31.3,58.6,2.3,6.5,35.7,2.2,5.7,39.2,5.0,11.8,42.8,6.5,17.9,36.6,3.6,10.8,33.1
