Team,Season,FGM < 5FT,FGA < 5FT,FG% < 5FT,FGM 5-9FT,FGA 5-9FT,FG% 5-9FT,FGM 10-14FT,FGA 10-14FT,FG% 10-14FT,FGM 15-19FT,FGA 15-19FT,FG% 15-19FT,FGM 20-24FT,FGA 20-24FT,FG% 20-24FT,FGM 25-29FT,FGA 25-29FT,FG% 25-29FT
Atlanta Hawks,2013-14,15.8,26.5,59.8,3.8,9.1,41.3,2.8,6.6,42.0,4.6,11.0,42.0,6.1,16.1,38.0,4.2,11.9,35.0
Boston Celtics,2013-14,15.6,27.9,56.1,2.6,7.5,35.1,2.7,6.7,40.9,6.1,14.9,40.7,6.2,16.0,38.5,3.3,10.6,30.8
Brooklyn Nets,2013-14,14.6,24.6,59.5,3.7,8.7,42.5,3.0,7.0,42.8,4.5,11.0,40.6,6.0,15.4,39.1,3.9,10.8,36.1
Charlotte Bobcats,2013-14,16.1,27.9,57.6,3.5,8.3,42.1,2.9,7.1,40.3,6.6,17.7,37.5,3.3,9.8,34.0,3.8,10.7,35.6
Chicago Bulls,2013-14,15.8,28.7,54.9,2.4,7.0,34.2,2.4,6.5,37.1,5.9,14.9,39.5,5.7,14.5,39.0,2.5,8.2,30.9
Cleveland Cavaliers,2013-14,14.9,27.2,54.8,4.0,10.0,39.8,3.2,8.4,38.2,6.2,15.1,41.4,5.0,13.5,37.3,3.6,10.0,35.8
Dallas Mavericks,2013-14,16.3,26.3,61.9,3.5,8.6,41.0,3.9,9.0,43.1,5.5,12.6,43.5,7.2,17.7,40.6,3.2,8.9,35.5
Denver Nuggets,2013-14,19.4,33.1,58.5,3.3,9.1,36.3,1.8,5.1,34.4,4.0,11.2,35.8,5.8,14.8,39.1,4.1,12.1,34.2
Detroit Pistons,2013-14,22.0,37.5,58.6,3.8,10.7,35.2,1.6,4.5,36.4,4.1,11.0,37.0,4.1,11.5,35.7,3.3,11.3,28.7
Golden State Warriors,2013-14,16.5,27.5,60.1,4.2,10.1,41.1,2.7,7.0,39.2,5.1,12.4,41.4,5.7,13.7,41.7,5.1,14.1,36.2
Houston Rockets,2013-14,21.2,35.2,60.1,4.0,9.5,42.1,1.2,3.2,37.9,1.4,4.2,33.9,5.3,15.0,35.7,4.8,13.2,36.5
Indiana Pacers,2013-14,14.8,25.8,57.3,3.7,9.2,40.4,2.9,7.7,36.9,6.4,14.9,43.3,4.4,11.2,38.8,3.8,10.9,34.9
Los Angeles Clippers,2013-14,18.1,27.4,66.0,2.1,5.9,35.4,2.5,5.9,41.5,5.9,14.3,41.2,6.8,16.9,39.9,3.7,11.5,32.6
Los Angeles Lakers,2013-14,16.2,27.5,59.0,3.3,8.6,39.0,2.9,7.7,37.4,4.8,12.2,39.1,6.2,15.3,40.3,4.8,13.5,36.0
Memphis Grizzlies,2013-14,18.0,30.5,58.8,5.1,12.4,41.3,3.2,7.7,41.3,5.1,12.7,40.4,4.6,12.1,38.2,2.1,6.2,33.4
Miami Heat,2013-14,19.3,28.7,67.3,2.8,6.2,45.1,2.0,4.8,42.2,4.6,10.7,42.5,6.7,16.9,39.9,2.9,8.9,32.2
Milwaukee Bucks,2013-14,17.1,31.0,54.9,3.0,8.5,35.3,2.5,6.5,37.9,5.3,12.8,41.6,4.2,11.9,35.3,4.0,11.1,35.4
Minnesota Timberwolves,2013-14,20.2,34.3,58.8,3.2,8.7,37.2,2.2,6.2,36.5,4.1,11.8,35.0,6.3,17.4,36.1,2.8,8.8,32.1
New Orleans Pelicans,2013-14,18.7,33.7,55.5,3.2,8.7,37.2,2.9,6.8,42.1,5.5,13.5,41.0,4.5,11.3,39.4,3.0,7.9,38.3
New York Knicks,2013-14,14.5,24.9,58.2,1.8,5.0,36.0,2.6,6.5,40.9,6.9,16.0,42.8,6.9,17.3,40.2,4.1,11.8,34.9
Oklahoma City Thunder,2013-14,17.1,27.9,61.5,3.2,7.7,41.5,3.7,8.4,44.5,5.7,13.8,41.8,6.4,16.3,39.6,2.6,8.2,32.0
Orlando Magic,2013-14,15.3,27.0,56.6,3.4,8.5,39.2,2.8,6.7,42.2,6.4,15.5,41.2,5.6,15.2,36.6,3.4,9.4,36.4
Philadelphia 76ers,2013-14,21.0,38.3,54.9,3.4,9.1,37.1,2.2,6.1,35.8,3.6,9.3,39.0,3.8,10.6,35.5,3.9,13.4,29.1
Phoenix Suns,2013-14,17.3,28.5,60.9,3.0,8.1,36.7,3.1,7.6,41.4,4.8,10.9,44.0,6.9,18.5,37.3,3.5,9.5,36.6
Portland Trail Blazers,2013-14,15.6,26.5,59.0,2.8,7.6,36.3,2.9,7.3,39.9,6.1,14.4,42.7,7.9,20.7,38.0,3.8,10.2,37.1
Sacramento Kings,2013-14,16.9,28.8,58.9,4.5,11.6,38.9,2.7,6.7,40.2,5.1,12.7,39.8,4.9,13.7,35.8,2.8,8.7,31.9
San Antonio Spurs,2013-14,18.6,29.2,63.5,4.3,10.2,42.4,2.2,5.7,38.9,5.7,13.6,41.6,6.6,16.0,41.1,3.2,8.4,37.7
Toronto Raptors,2013-14,15.1,25.9,58.5,3.8,9.5,39.9,2.4,6.2,38.0,5.1,12.9,39.4,5.9,15.8,37.4,4.2,11.3,37.1
Utah Jazz,2013-14,16.8,28.5,59.1,3.3,8.7,38.5,2.5,6.8,37.6,4.2,11.4,36.9,7.3,19.9,36.5,1.8,5.4,33.5
Washington Wizards,2013-14,17.2,27.5,62.4,2.9,7.6,38.3,2.7,7.2,37.7,6.3,16.4,38.4,5.7,14.7,38.9,3.8,10.3,37.0
