Team,Season,FGM < 5FT,FGA < 5FT,FG% < 5FT,FGM 5-9FT,FGA 5-9FT,FG% 5-9FT,FGM 10-14FT,FGA 10-14FT,FG% 10-14FT,FGM 15-19FT,FGA 15-19FT,FG% 15-19FT,FGM 20-24FT,FGA 20-24FT,FG% 20-24FT,FGM 25-29FT,FGA 25-29FT,FG% 25-29FT
Atlanta Hawks,2016-17,18.3,31.3,58.6,2.3,6.5,35.7,2.2,5.7,39.2,5.0,11.8,42.8,6.5,17.9,36.6,3.6,10.8,33.1
Boston Celtics,2016-17,17.4,29.2,59.5,2.9,7.0,41.5,2.0,4.8,42.5,3.1,7.4,41.1,7.3,19.1,38.3,5.9,17.0,34.8
Brooklyn Nets,2016-17,18.4,31.8,58.0,3.9,9.3,42.0,2.2,5.5,40.1,1.9,5.4,34.5,6.6,18.5,35.6,4.8,14.1,33.8
Charlotte Hornets,2016-17,15.9,27.0,59.0,3.3,8.4,39.5,2.7,6.4,42.6,4.7,12.2,38.7,5.9,16.2,36.5,5.1,14.8,34.7
Chicago Bulls,2016-17,16.8,29.0,57.9,4.4,9.9,44.1,3.1,8.0,38.7,5.2,13.5,38.3,6.0,16.1,37.7,3.1,10.3,30.5
Cleveland Cavaliers,2016-17,17.0,26.8,63.5,2.4,6.7,36.4,2.4,6.0,40.0,3.9,8.5,45.9,8.3,21.1,39.3,5.7,15.1,38.1
Dallas Mavericks,2016-17,12.2,20.1,60.6,3.0,6.9,43.6,3.2,7.1,44.7,5.8,14.3,40.5,8.1,21.9,37.1,3.9,11.6,33.5
Denver Nuggets,2016-17,20.9,35.0,59.6,3.3,7.6,43.5,2.1,5.5,38.0,3.0,7.5,40.7,6.5,17.2,37.9,5.3,14.5,37.0
Detroit Pistons,2016-17,15.5,26.2,59.4,5.3,12.8,40.9,4.2,9.5,44.7,6.4,14.7,43.2,4.1,10.9,37.8,4.3,13.9,30.6
Golden State Warriors,2016-17,19.6,29.8,65.7,2.3,5.5,41.2,3.3,7.7,42.7,4.7,10.2,46.0,5.9,14.0,42.2,7.1,18.9,37.8
Houston Rockets,2016-17,20.7,32.7,63.2,2.2,6.2,36.1,1.1,3.1,37.3,1.5,3.8,39.4,6.3,17.1,36.9,8.3,23.7,35.0
Indiana Pacers,2016-17,16.0,26.7,59.8,4.0,9.4,43.1,2.9,7.1,41.6,5.9,14.3,41.5,5.8,14.4,40.6,4.4,12.0,37.0
LA Clippers,2016-17,17.3,27.6,62.5,2.0,5.0,39.0,2.2,4.9,43.8,5.8,13.4,43.1,7.0,17.1,40.8,5.2,14.0,36.7
Los Angeles Lakers,2016-17,18.8,32.0,58.8,4.2,10.4,40.2,2.6,7.0,37.2,3.8,9.6,39.7,5.4,14.8,36.6,4.3,12.8,33.6
Memphis Grizzlies,2016-17,16.0,28.9,55.3,3.5,8.5,41.5,2.4,6.5,37.5,3.5,8.8,40.4,5.8,15.6,36.8,5.0,14.5,34.8
Miami Heat,2016-17,17.5,29.3,59.8,4.1,10.1,41.0,2.5,6.5,38.4,3.8,9.7,38.7,7.6,19.5,38.9,3.5,10.2,34.2
Milwaukee Bucks,2016-17,20.7,33.9,61.2,3.5,9.1,38.3,1.7,4.7,36.8,3.3,8.2,39.7,4.8,12.8,37.6,4.6,12.6,36.7
Minnesota Timberwolves,2016-17,18.4,30.3,60.9,4.2,9.3,45.0,2.3,6.1,37.8,5.4,13.3,40.7,6.5,16.9,38.6,2.6,8.2,31.6
New Orleans Pelicans,2016-17,17.5,29.4,59.5,3.9,9.7,40.4,2.7,6.3,43.5,4.3,10.9,39.4,5.5,15.1,36.3,5.2,15.1,34.2
New York Knicks,2016-17,16.7,29.7,56.1,2.8,7.3,38.5,4.1,9.3,43.6,5.9,13.5,43.6,6.8,17.5,38.9,3.3,10.7,30.7
Oklahoma City Thunder,2016-17,20.7,35.1,58.8,3.2,7.9,41.0,2.7,6.9,38.7,3.8,10.1,37.6,6.2,17.8,34.6,2.9,9.2,31.6
Orlando Magic,2016-17,16.0,27.0,59.3,4.4,10.7,41.6,3.0,7.3,40.5,4.9,12.4,39.4,5.2,14.7,35.6,4.7,14.4,32.6
Philadelphia 76ers,2016-17,18.7,31.6,59.2,2.8,7.5,38.0,2.4,6.3,39.0,2.9,8.0,35.9,5.4,14.7,36.5,5.3,16.7,31.8
Phoenix Suns,2016-17,18.8,32.0,58.8,3.9,8.7,44.1,3.3,8.3,39.5,5.1,12.8,39.7,5.4,15.6,34.5,3.5,10.6,32.4
Portland Trail Blazers,2016-17,17.2,30.4,56.5,3.2,7.4,43.2,2.7,6.0,44.6,4.7,10.9,43.2,6.9,18.3,37.6,4.8,12.4,38.4
Sacramento Kings,2016-17,17.0,28.5,59.5,3.4,8.8,38.9,2.5,6.3,40.2,4.6,11.2,41.5,6.4,16.2,39.7,3.8,10.6,36.1
San Antonio Spurs,2016-17,15.3,25.0,61.2,4.2,9.6,43.2,2.9,7.4,38.4,6.2,14.6,42.6,7.7,17.8,43.1,3.1,9.0,34.2
Toronto Raptors,2016-17,16.7,28.0,59.6,3.9,9.1,42.5,3.5,7.9,43.9,5.0,11.8,42.6,5.7,15.0,37.9,4.3,12.1,35.7
Utah Jazz,2016-17,17.0,28.0,60.7,3.3,7.7,43.1,2.9,6.8,43.3,3.2,8.4,37.7,7.5,20.0,37.5,3.0,8.1,36.5
Washington Wizards,2016-17,18.1,29.9,60.5,3.5,8.3,42.3,3.0,7.3,41.6,6.0,13.6,44.4,5.1,13.5,38.0,5.5,13.9,39.3
