Team,Season,FGM < 5FT,FGA < 5FT,FG% < 5FT,FGM 5-9FT,FGA 5-9FT,FG% 5-9FT,FGM 10-14FT,FGA 10-14FT,FG% 10-14FT,FGM 15-19FT,FGA 15-19FT,FG% 15-19FT,FGM 20-24FT,FGA 20-24FT,FG% 20-24FT,FGM 25-29FT,FGA 25-29FT,FG% 25-29FT
Atlanta Hawks,2011-12,16.3,26.9,60.6,3.2,8.0,40.2,1.7,4.3,39.1,5.7,14.9,38.6,6.8,18.5,36.6,3.1,8.1,37.6
Boston Celtics,2011-12,14.5,24.8,58.5,2.2,5.7,38.7,3.3,8.1,41.1,7.9,18.4,42.9,5.5,13.9,39.8,2.0,6.0,33.8
Charlotte Bobcats,2011-12,14.9,26.8,55.4,2.1,6.4,32.9,2.4,6.4,37.5,8.0,21.0,38.0,3.7,11.5,32.4,2.1,7.6,28.1
Chicago Bulls,2011-12,16.7,29.1,57.3,3.1,7.2,42.3,2.7,7.0,38.0,6.9,17.4,39.7,5.3,14.1,37.2,2.8,7.5,37.5
Cleveland Cavaliers,2011-12,17.5,31.9,54.8,3.3,9.9,33.6,1.7,5.2,32.8,3.6,10.4,34.5,5.6,15.9,35.1,2.6,7.8,33.3
Dallas Mavericks,2011-12,14.5,24.0,60.3,3.3,9.3,35.2,4.0,9.7,40.7,5.6,12.7,43.6,6.5,18.4,35.5,2.5,7.5,33.5
Denver Nuggets,2011-12,23.1,38.2,60.4,2.9,7.3,39.7,2.1,5.0,41.1,3.2,8.4,37.4,5.2,14.2,36.7,2.5,8.3,30.8
Detroit Pistons,2011-12,16.9,30.7,55.0,3.4,9.1,37.6,2.3,6.5,35.8,5.7,14.8,38.3,3.7,9.8,37.8,2.7,7.9,33.8
Golden State Warriors,2011-12,15.6,26.7,58.2,3.0,8.4,35.7,2.3,5.7,40.6,6.6,15.8,41.8,6.0,14.2,42.3,4.2,11.3,37.1
Houston Rockets,2011-12,16.1,27.3,59.0,3.9,10.6,37.1,2.9,7.8,37.3,6.1,14.5,41.9,5.8,14.9,38.8,2.8,8.5,33.6
Indiana Pacers,2011-12,15.8,29.2,54.1,4.2,10.6,39.9,3.1,8.1,37.9,5.8,14.8,39.1,3.7,10.3,36.0,3.0,8.1,37.6
Los Angeles Clippers,2011-12,16.5,26.8,61.4,2.6,6.9,37.6,1.9,4.7,39.3,6.0,15.0,40.2,6.2,16.6,37.2,3.8,10.8,35.0
Los Angeles Lakers,2011-12,16.3,27.0,60.5,4.4,10.9,40.8,3.1,7.8,40.4,5.1,12.3,41.2,5.3,13.7,38.5,2.5,8.6,29.0
Memphis Grizzlies,2011-12,17.1,29.6,57.7,4.4,10.7,41.0,3.5,9.0,38.3,5.4,14.0,38.7,4.3,11.8,36.5,2.1,6.4,32.2
Miami Heat,2011-12,17.4,28.2,61.6,3.4,8.6,39.4,3.1,7.1,43.1,6.1,15.1,40.1,5.3,14.2,37.4,1.8,5.5,32.9
Milwaukee Bucks,2011-12,17.6,31.1,56.8,2.9,7.8,36.7,3.1,7.5,40.9,6.3,16.1,39.2,4.4,12.3,35.8,3.5,10.3,33.7
Minnesota Timberwolves,2011-12,17.2,29.7,57.8,3.0,8.7,34.8,1.7,5.4,30.6,4.5,11.0,40.9,6.7,18.9,35.6,2.6,8.2,31.3
New Jersey Nets,2011-12,13.4,24.8,53.9,2.8,6.6,42.7,2.9,7.5,38.3,6.3,15.7,40.1,5.9,17.0,34.8,3.0,8.6,34.3
New Orleans Hornets,2011-12,15.3,26.8,57.0,3.9,9.8,39.3,3.5,8.7,40.8,6.7,16.0,41.8,3.5,9.8,35.9,1.9,5.8,32.9
New York Knicks,2011-12,18.1,30.3,59.9,1.8,5.8,30.5,2.1,5.4,38.8,4.3,11.8,36.5,6.6,18.4,35.9,3.0,8.8,33.5
Oklahoma City Thunder,2011-12,17.4,28.2,61.7,2.7,6.9,39.1,2.9,7.5,39.0,6.2,13.8,44.7,6.2,16.1,38.6,1.8,6.4,29.0
Orlando Magic,2011-12,15.9,27.2,58.4,2.8,7.1,38.9,1.3,3.9,32.8,3.0,8.7,34.0,6.5,16.6,39.2,5.0,14.2,35.3
Philadelphia 76ers,2011-12,14.4,24.7,58.2,4.0,9.8,40.9,4.8,11.9,40.6,7.8,19.4,40.3,3.4,9.2,36.5,3.0,8.1,36.6
Phoenix Suns,2011-12,15.8,25.4,62.1,3.7,9.1,40.4,2.8,7.1,38.6,6.5,14.6,44.1,6.5,17.8,36.5,2.7,8.2,32.5
Portland Trail Blazers,2011-12,16.5,29.0,56.8,2.6,6.5,39.7,2.0,5.9,34.9,5.6,13.8,40.8,7.5,19.2,39.1,2.1,7.2,29.5
Sacramento Kings,2011-12,20.3,35.5,57.2,3.5,9.9,35.2,1.8,5.2,35.2,4.2,11.5,36.5,5.4,15.8,34.2,2.5,8.2,30.1
San Antonio Spurs,2011-12,17.6,28.5,61.7,4.6,11.2,40.8,2.6,6.3,41.1,5.0,12.1,41.6,7.4,17.4,42.4,2.3,7.0,33.6
Toronto Raptors,2011-12,15.4,25.8,59.8,2.7,7.1,37.9,2.4,6.0,40.3,5.7,15.8,36.3,6.0,16.8,36.0,2.0,6.1,32.8
Utah Jazz,2011-12,19.8,32.5,61.0,4.7,11.5,41.1,2.6,7.9,33.3,5.2,14.1,37.1,4.3,12.8,33.7,1.5,4.6,32.0
Washington Wizards,2011-12,17.7,29.9,59.4,3.4,8.9,38.1,2.3,7.0,32.4,6.1,15.7,38.6,5.0,13.7,36.6,2.1,7.4,27.9
