Team,Season,FGM < 5FT,FGA < 5FT,FG% < 5FT,FGM 5-9FT,FGA 5-9FT,FG% 5-9FT,FGM 10-14FT,FGA 10-14FT,FG% 10-14FT,FGM 15-19FT,FGA 15-19FT,FG% 15-19FT,FGM 20-24FT,FGA 20-24FT,FG% 20-24FT,FGM 25-29FT,FGA 25-29FT,FG% 25-29FT
Atlanta Hawks,2012-13,17.2,27.1,63.5,3.0,8.0,37.0,1.6,4.5,36.0,5.1,13.1,38.8,6.6,16.8,39.4,4.1,11.3,36.8
Boston Celtics,2012-13,15.5,26.9,57.6,2.5,6.4,38.8,3.4,7.6,45.0,7.2,16.4,43.7,6.0,14.8,40.8,2.4,7.1,34.0
Brooklyn Nets,2012-13,15.8,27.6,57.3,4.3,10.3,41.4,2.5,6.5,39.1,4.5,10.8,41.8,6.1,16.3,37.1,2.7,8.0,33.9
Charlotte Bobcats,2012-13,16.2,30.0,53.8,2.6,7.8,34.0,2.3,6.6,35.6,6.4,15.7,40.5,3.4,10.2,32.9,3.5,10.4,34.0
Chicago Bulls,2012-13,16.9,29.5,57.4,2.3,6.9,32.7,3.1,8.4,37.3,6.1,16.4,37.3,5.0,13.4,37.3,2.3,6.9,33.3
Cleveland Cavaliers,2012-13,15.9,29.3,54.3,3.7,10.0,36.5,3.0,8.0,37.5,5.5,12.6,43.2,4.5,12.6,35.8,3.9,11.2,34.6
Dallas Mavericks,2012-13,14.7,24.8,59.3,4.6,10.6,43.0,4.2,10.4,40.4,6.4,14.4,44.5,6.0,15.5,38.9,2.9,7.9,36.6
Denver Nuggets,2012-13,25.5,41.5,61.3,3.1,8.5,36.3,1.7,4.9,34.1,3.4,9.2,36.8,4.4,12.9,34.3,2.7,7.6,35.1
Detroit Pistons,2012-13,20.0,35.2,56.8,3.1,8.6,35.8,1.5,4.4,34.3,4.3,12.0,36.2,3.8,10.4,36.7,3.6,10.0,36.2
Golden State Warriors,2012-13,14.6,25.1,58.3,3.7,9.5,38.8,2.9,7.7,37.9,6.9,16.6,41.5,5.3,12.0,44.2,4.7,12.0,38.9
Houston Rockets,2012-13,20.5,34.4,59.6,2.4,6.7,36.1,1.0,3.2,31.8,2.3,6.0,37.9,7.5,19.3,38.7,4.3,12.7,34.2
Indiana Pacers,2012-13,15.7,27.6,56.7,3.8,9.6,39.7,2.6,7.2,36.8,5.1,13.2,39.0,4.0,11.2,35.2,3.9,11.2,34.7
Los Angeles Clippers,2012-13,18.6,29.0,64.2,3.0,7.3,40.9,2.4,5.5,43.2,5.2,12.7,40.8,5.6,14.8,37.8,3.7,10.9,34.1
Los Angeles Lakers,2012-13,17.4,29.0,60.0,2.8,7.5,37.6,2.3,5.5,41.8,4.1,10.3,40.1,6.2,16.0,38.9,4.2,12.2,34.0
Memphis Grizzlies,2012-13,16.3,29.9,54.6,4.2,10.9,39.1,3.3,8.2,40.1,5.3,13.0,40.9,4.9,12.8,38.5,2.0,6.3,32.4
Miami Heat,2012-13,17.5,26.4,66.4,2.6,6.5,40.4,2.3,5.9,38.6,5.4,12.4,43.5,7.6,17.7,42.9,2.9,8.1,35.9
Milwaukee Bucks,2012-13,18.2,32.8,55.5,2.5,7.9,32.0,3.1,7.9,38.7,5.7,14.8,38.7,4.5,12.4,36.2,4.1,11.6,35.5
Minnesota Timberwolves,2012-13,17.8,31.0,57.5,2.5,7.4,33.3,1.8,4.7,38.7,6.3,14.9,42.4,5.1,15.6,32.7,2.3,7.8,30.1
New Orleans Hornets,2012-13,16.9,30.4,55.6,4.2,10.3,40.2,2.2,5.9,37.4,4.6,11.4,40.7,4.4,11.5,37.8,3.8,10.4,36.6
New York Knicks,2012-13,15.3,26.6,57.4,1.6,4.0,40.4,1.7,4.6,38.0,5.2,12.7,40.7,8.1,20.1,40.4,4.5,12.8,35.3
Oklahoma City Thunder,2012-13,17.2,27.3,63.1,3.1,7.6,40.5,3.5,8.1,43.1,6.1,14.1,43.4,6.0,15.5,38.9,2.1,6.4,33.2
Orlando Magic,2012-13,17.0,28.8,59.2,4.1,9.5,42.6,2.9,7.4,39.6,5.6,14.4,38.8,5.0,13.9,36.3,3.1,10.0,31.0
Philadelphia 76ers,2012-13,15.5,27.4,56.8,3.1,7.6,40.4,3.7,8.9,41.1,7.6,19.6,38.8,4.7,12.4,37.6,2.8,7.8,35.3
Phoenix Suns,2012-13,16.7,28.0,59.6,3.2,9.0,35.7,2.7,7.2,37.8,6.4,15.8,40.4,5.8,16.4,35.3,2.5,7.5,32.5
Portland Trail Blazers,2012-13,15.8,27.3,58.0,2.5,6.2,40.3,2.6,6.1,42.2,5.2,12.8,40.6,7.4,19.4,38.0,3.2,9.6,33.0
Sacramento Kings,2012-13,18.5,32.2,57.6,3.9,10.1,38.3,2.0,5.2,39.0,4.2,11.7,36.2,6.1,16.2,37.6,2.9,8.5,33.9
San Antonio Spurs,2012-13,18.4,29.7,61.8,3.7,9.1,40.6,2.5,5.9,41.7,5.3,11.9,44.5,6.4,16.7,38.3,3.0,7.8,37.7
Toronto Raptors,2012-13,15.3,25.5,60.0,3.4,7.8,43.3,3.2,7.8,40.8,5.3,14.1,37.4,5.5,15.5,35.5,3.7,10.5,34.8
Utah Jazz,2012-13,17.1,28.7,59.5,3.7,9.4,39.1,2.5,6.5,37.7,5.6,14.2,39.0,6.2,16.7,37.4,2.1,5.9,35.8
Washington Wizards,2012-13,13.6,24.3,56.0,4.2,9.6,43.6,3.2,8.7,36.6,6.2,16.5,37.6,5.4,13.3,40.3,2.9,8.8,33.1
