Team,Season,FGM < 5FT,FGA < 5FT,FG% < 5FT,FGM 5-9FT,FGA 5-9FT,FG% 5-9FT,FGM 10-14FT,FGA 10-14FT,FG% 10-14FT,FGM 15-19FT,FGA 15-19FT,FG% 15-19FT,FGM 20-24FT,FGA 20-24FT,FG% 20-24FT,FGM 25-29FT,FGA 25-29FT,FG% 25-29FT
Atlanta Hawks,2017-18,17.0,28.9,58.8,2.1,6.2,34.1,2.8,7.0,39.5,3.5,8.8,40.4,7.4,18.6,39.8,5.3,15.5,34.3
Boston Celtics,2017-18,15.7,27.4,57.2,3.0,8.0,37.7,2.9,7.4,39.6,4.0,9.0,44.4,5.5,13.7,40.1,7.1,19.0,37.5
Brooklyn Nets,2017-18,17.2,29.0,59.3,3.5,9.5,37.3,2.4,6.0,39.8,1.8,4.7,38.6,5.8,16.4,35.2,7.3,20.4,35.9
Charlotte Hornets,2017-18,16.8,28.1,59.7,3.7,9.5,38.9,3.4,8.1,42.3,4.0,10.5,37.5,4.0,11.1,36.4,7.0,18.6,37.6
Chicago Bulls,2017-18,16.1,28.1,57.4,3.7,9.2,40.0,2.6,7.1,37.3,3.5,8.9,38.7,6.1,16.1,37.7,6.6,19.0,34.9
Cleveland Cavaliers,2017-18,19.0,28.4,66.7,2.3,6.3,37.2,2.6,6.4,40.2,3.2,7.6,41.7,6.4,16.9,37.7,6.8,18.4,36.6
Dallas Mavericks,2017-18,15.2,25.1,60.6,2.9,7.1,40.3,2.9,7.6,38.5,3.9,9.4,41.1,6.5,16.6,39.5,6.7,19.5,34.1
Denver Nuggets,2017-18,19.4,31.8,61.1,3.9,9.7,40.0,3.0,6.6,45.0,2.2,5.6,39.3,5.9,15.3,38.6,6.2,17.0,36.7
Detroit Pistons,2017-18,16.8,28.5,58.9,3.6,10.1,35.7,3.2,7.5,42.0,3.7,9.1,41.0,5.0,13.1,37.9,6.8,18.1,37.7
Golden State Warriors,2017-18,17.5,26.1,67.0,2.6,6.1,43.1,4.7,9.7,48.7,5.3,11.3,46.9,4.9,11.6,42.3,7.7,19.6,39.1
Houston Rockets,2017-18,17.7,28.2,62.8,1.7,4.8,35.6,1.8,4.2,43.6,1.8,3.6,48.5,6.4,15.9,40.0,9.1,26.3,34.6
Indiana Pacers,2017-18,17.9,29.5,60.8,3.2,7.6,41.4,2.9,6.4,45.8,5.9,14.0,42.0,5.0,12.1,41.3,5.9,16.3,36.2
LA Clippers,2017-18,21.6,35.2,61.4,3.2,8.5,37.6,2.5,5.8,43.1,2.6,6.6,38.9,4.6,12.8,36.0,5.7,16.0,35.6
Los Angeles Lakers,2017-18,21.6,34.7,62.2,3.2,8.5,37.5,2.1,6.1,34.5,3.0,7.6,39.3,4.2,11.5,36.4,6.7,19.5,34.1
Memphis Grizzlies,2017-18,17.4,29.9,58.3,2.6,7.5,35.4,2.6,6.9,38.2,3.0,7.8,38.5,4.9,13.3,36.6,6.1,16.9,36.3
Miami Heat,2017-18,18.3,29.7,61.5,3.2,8.1,39.5,2.6,6.8,38.4,2.8,7.5,37.8,5.7,15.2,37.4,6.2,17.5,35.4
Milwaukee Bucks,2017-18,19.1,30.5,62.7,3.2,7.8,40.6,3.4,7.5,45.5,4.1,9.7,42.9,4.5,11.7,38.2,5.4,15.5,34.9
Minnesota Timberwolves,2017-18,18.0,28.1,64.0,5.1,11.6,43.6,4.1,9.2,44.3,4.1,10.5,39.1,5.5,13.7,40.2,4.2,12.2,34.2
New Orleans Pelicans,2017-18,20.1,31.6,63.7,4.7,10.2,46.2,3.2,7.3,44.0,3.1,7.6,40.7,5.8,14.9,39.2,5.6,16.3,34.7
New York Knicks,2017-18,17.6,28.9,60.9,3.9,9.3,41.7,4.4,9.9,44.4,4.4,11.1,39.7,5.2,12.7,40.5,5.2,15.2,34.3
Oklahoma City Thunder,2017-18,18.6,30.8,60.6,2.2,5.5,40.1,3.0,7.4,40.5,4.0,10.4,38.3,6.5,17.5,36.9,5.6,15.7,35.3
Orlando Magic,2017-18,17.8,28.1,63.3,3.6,9.5,37.9,2.7,7.5,35.7,3.2,8.3,39.0,4.4,11.8,37.1,7.0,20.1,35.0
Philadelphia 76ers,2017-18,19.0,29.4,64.7,3.4,8.7,38.6,3.0,7.9,38.0,3.0,7.2,41.2,4.6,11.3,40.4,7.9,21.6,36.5
Phoenix Suns,2017-18,18.7,31.7,58.9,3.1,8.2,37.3,3.5,8.6,40.9,3.1,8.1,38.3,4.6,13.2,35.0,5.5,16.7,32.8
Portland Trail Blazers,2017-18,16.9,29.6,56.8,3.3,8.5,39.3,3.5,7.9,44.1,3.8,9.0,41.7,5.6,14.9,37.8,6.1,16.5,37.0
Sacramento Kings,2017-18,15.6,26.3,59.4,4.8,12.2,39.0,3.1,8.0,38.7,4.6,11.5,40.3,5.8,14.6,39.9,4.8,13.0,37.2
San Antonio Spurs,2017-18,16.5,26.7,61.9,4.1,10.1,40.2,4.2,10.2,41.2,4.4,10.5,41.6,5.3,13.8,38.4,4.6,13.6,33.6
Toronto Raptors,2017-18,19.7,31.1,63.4,3.4,8.3,40.6,3.0,7.1,42.2,2.7,6.2,44.0,5.5,14.7,37.5,6.9,19.3,35.5
Utah Jazz,2017-18,17.7,28.4,62.3,2.8,7.6,36.5,2.7,6.9,39.6,3.0,7.5,40.0,6.3,16.5,38.4,5.6,15.3,36.8
Washington Wizards,2017-18,15.9,25.6,62.1,3.7,8.8,42.5,4.2,9.7,43.4,4.9,11.6,42.1,4.5,11.9,38.2,6.6,17.5,37.5
