Team,Season,FGM < 5FT,FGA < 5FT,FG% < 5FT,FGM 5-9FT,FGA 5-9FT,FG% 5-9FT,FGM 10-14FT,FGA 10-14FT,FG% 10-14FT,FGM 15-19FT,FGA 15-19FT,FG% 15-19FT,FGM 20-24FT,FGA 20-24FT,FG% 20-24FT,FGM 25-29FT,FGA 25-29FT,FG% 25-29FT
Atlanta Hawks,2018-19,21.1,35.4,59.7,2.8,7.4,37.3,2.5,6.7,38.1,1.4,3.9,36.9,5.6,15.3,36.6,7.5,21.7,34.6
Boston Celtics,2018-19,17.6,28.1,62.6,3.2,7.7,41.8,3.8,8.7,43.3,3.9,8.8,43.9,5.2,14.7,35.6,8.3,22.1,37.4
Brooklyn Nets,2018-19,19.7,33.6,58.7,3.0,8.2,37.2,2.8,6.4,42.8,1.6,4.2,38.7,4.9,14.0,35.2,8.2,22.8,35.8
Charlotte Hornets,2018-19,18.3,31.7,57.8,3.6,9.1,40.1,2.6,6.0,43.2,2.9,6.8,41.9,5.2,13.5,38.3,7.6,21.9,34.5
Chicago Bulls,2018-19,19.2,33.2,58.0,4.7,10.8,43.5,2.9,7.6,37.9,2.8,7.5,37.2,4.6,12.1,38.0,5.6,16.3,34.4
Cleveland Cavaliers,2018-19,17.0,29.3,58.1,3.9,10.0,38.7,3.4,8.3,40.8,3.3,8.2,40.5,4.6,12.4,37.3,6.5,18.8,34.9
Dallas Mavericks,2018-19,18.0,28.5,63.0,3.2,8.4,38.4,2.6,6.6,40.0,1.9,5.2,37.3,5.5,14.9,37.1,7.4,22.4,33.0
Denver Nuggets,2018-19,19.6,32.3,60.7,4.6,10.9,42.4,3.6,7.8,45.8,2.4,6.0,40.4,6.4,16.8,38.2,5.2,15.8,33.2
Detroit Pistons,2018-19,18.1,31.1,58.4,3.5,9.5,37.3,1.8,5.1,35.3,2.8,6.5,43.8,5.4,14.5,37.3,7.0,20.8,33.6
Golden State Warriors,2018-19,17.4,26.1,66.7,2.5,5.9,42.4,4.3,9.2,46.5,5.5,11.2,48.8,5.4,13.0,41.7,8.7,23.1,37.5
Houston Rockets,2018-19,17.6,28.6,61.7,2.7,6.8,39.0,1.7,3.9,42.5,0.9,2.0,45.1,6.1,16.9,36.4,10.0,28.2,35.5
Indiana Pacers,2018-19,19.8,32.4,61.2,3.4,8.4,40.8,2.6,6.2,42.3,4.4,11.1,40.0,4.8,11.5,41.9,6.2,16.9,36.4
LA Clippers,2018-19,19.8,33.8,58.6,4.0,9.5,42.1,3.5,8.2,42.3,3.2,7.9,40.6,4.6,12.0,38.1,6.2,15.8,39.4
Los Angeles Lakers,2018-19,24.1,38.3,62.8,2.5,6.9,36.4,2.2,5.9,37.8,2.6,6.5,39.7,4.4,12.4,35.4,6.7,20.0,33.5
Memphis Grizzlies,2018-19,17.2,28.3,60.7,4.4,10.7,41.6,2.7,7.3,37.4,2.5,6.4,39.0,5.1,14.1,36.5,5.9,17.1,34.2
Miami Heat,2018-19,19.6,31.9,61.4,3.3,9.2,36.5,2.9,7.5,38.0,2.0,5.5,37.1,5.6,15.6,36.2,6.1,17.9,34.1
Milwaukee Bucks,2018-19,23.2,35.8,64.8,2.3,6.4,36.0,2.1,4.9,42.8,1.9,4.7,40.3,4.5,11.8,37.8,9.3,27.1,34.5
Minnesota Timberwolves,2018-19,19.3,31.8,60.9,4.3,10.6,40.8,2.9,7.5,38.4,3.5,8.9,39.8,6.1,16.3,37.4,5.4,15.7,34.3
New Orleans Pelicans,2018-19,22.5,35.6,63.1,4.9,11.7,41.5,3.4,7.4,45.5,2.0,5.6,35.7,4.6,13.4,34.6,6.3,18.1,34.6
New York Knicks,2018-19,18.1,31.8,56.8,2.5,7.1,34.7,2.9,7.6,38.7,3.3,8.6,38.6,4.8,13.1,36.5,6.6,19.6,33.5
Oklahoma City Thunder,2018-19,21.5,35.5,60.4,3.3,8.7,38.1,3.0,7.7,39.1,2.8,7.7,36.4,6.1,16.3,37.1,5.9,17.4,34.1
Orlando Magic,2018-19,17.0,27.5,62.0,3.8,8.9,43.1,2.8,7.3,38.6,3.9,9.8,39.8,5.5,14.3,38.8,7.3,21.0,34.9
Philadelphia 76ers,2018-19,19.8,31.1,63.8,3.6,8.7,41.0,3.2,7.9,40.6,3.0,7.5,40.1,4.4,11.5,38.2,7.5,21.0,35.6
Phoenix Suns,2018-19,19.2,31.1,61.6,3.6,8.9,40.7,3.9,8.6,45.0,3.2,7.6,42.1,4.5,13.2,34.1,5.7,17.4,32.9
Portland Trail Blazers,2018-19,20.5,34.6,59.4,2.8,7.3,39.1,3.0,6.7,44.4,3.9,8.3,46.5,5.3,14.8,35.9,6.5,18.0,35.9
Sacramento Kings,2018-19,20.2,33.0,61.1,4.2,11.4,36.8,3.1,7.5,42.2,3.4,8.6,39.8,5.6,14.7,38.2,6.6,17.4,37.8
San Antonio Spurs,2018-19,14.9,23.5,63.2,5.2,11.2,46.4,5.2,11.6,44.7,5.4,12.9,42.2,5.3,12.6,42.2,6.2,16.1,38.8
Toronto Raptors,2018-19,19.6,31.6,62.1,3.6,8.3,43.0,3.0,6.9,43.4,2.9,6.3,45.3,6.6,16.1,40.8,6.4,19.3,33.3
Utah Jazz,2018-19,21.0,33.3,62.9,2.5,7.1,35.7,2.2,5.5,39.6,1.9,4.2,44.4,7.5,19.9,37.6,5.3,15.6,34.2
Washington Wizards,2018-19,21.1,32.7,64.5,3.1,7.2,43.3,2.2,6.0,37.1,3.4,8.1,41.9,5.0,14.1,35.6,7.2,21.4,33.4
