Team,Season,FGM < 5FT,FGA < 5FT,FG% < 5FT,FGM 5-9FT,FGA 5-9FT,FG% 5-9FT,FGM 10-14FT,FGA 10-14FT,FG% 10-14FT,FGM 15-19FT,FGA 15-19FT,FG% 15-19FT,FGM 20-24FT,FGA 20-24FT,FG% 20-24FT,FGM 25-29FT,FGA 25-29FT,FG% 25-29FT
Atlanta Hawks,2019-20,19.6,31.5,62.2,3.6,8.9,40.3,3.0,7.7,38.4,1.9,4.7,40.1,4.1,12.3,33.6,7.9,23.5,33.8
Boston Celtics,2019-20,19.1,32.2,59.2,3.4,8.5,39.9,3.0,6.8,43.9,2.6,6.3,42.0,4.4,11.4,38.7,8.6,23.9,36.1
Brooklyn Nets,2019-20,21.2,35.9,59.0,2.3,6.7,35.0,1.9,5.3,35.4,1.4,3.3,42.3,5.6,16.1,34.8,7.5,22.0,33.9
Charlotte Hornets,2019-20,18.7,32.8,57.1,3.4,9.7,35.6,1.6,4.7,33.2,1.1,3.1,35.7,4.5,12.3,36.5,7.8,22.5,34.7
Chicago Bulls,2019-20,20.7,35.5,58.3,3.1,8.1,37.9,1.8,4.5,40.0,1.4,3.8,35.3,5.3,14.4,36.8,7.3,21.7,33.7
Cleveland Cavaliers,2019-20,18.9,31.9,59.3,4.3,10.3,42.0,3.4,7.5,45.5,2.0,5.1,38.4,4.2,11.1,38.0,7.2,20.9,34.3
Dallas Mavericks,2019-20,17.6,26.8,65.8,3.6,9.7,37.2,2.5,6.2,40.3,2.0,4.6,43.0,6.0,14.7,41.0,9.5,26.7,35.5
Denver Nuggets,2019-20,19.5,31.2,62.6,3.8,9.7,39.2,3.1,7.5,40.8,3.6,8.1,44.8,6.1,15.6,39.0,5.6,16.3,34.6
Detroit Pistons,2019-20,19.5,32.6,59.9,3.8,10.0,38.2,2.0,5.4,36.4,1.7,4.0,41.2,5.5,13.9,39.3,6.8,19.2,35.6
Golden State Warriors,2019-20,16.6,27.6,60.0,3.3,8.5,39.1,3.3,8.2,40.2,3.9,9.6,40.7,4.1,11.2,36.4,7.1,21.5,32.9
Houston Rockets,2019-20,20.4,32.7,62.4,2.4,6.5,36.1,1.3,3.3,37.9,1.3,3.1,42.4,5.7,15.0,38.0,9.9,29.2,33.7
Indiana Pacers,2019-20,19.6,31.9,61.4,3.4,8.1,42.2,3.9,8.6,45.6,4.5,10.1,44.2,4.5,11.5,38.9,6.2,17.6,35.5
LA Clippers,2019-20,18.8,30.8,61.1,3.9,9.2,42.0,3.3,7.6,43.1,2.9,7.1,40.6,5.5,14.2,39.0,7.1,20.2,35.3
Los Angeles Lakers,2019-20,23.0,34.1,67.3,2.6,6.9,38.1,2.4,6.0,39.8,3.0,7.9,37.4,5.2,13.3,39.4,6.6,19.7,33.5
Memphis Grizzlies,2019-20,20.0,32.4,61.8,5.6,12.7,43.9,3.6,8.3,43.7,1.9,4.5,42.1,4.7,12.6,37.1,6.8,19.9,34.5
Miami Heat,2019-20,17.4,27.1,64.4,3.2,8.2,38.6,2.7,6.6,40.8,2.4,6.2,39.3,5.6,14.1,39.7,8.1,21.2,38.2
Milwaukee Bucks,2019-20,20.5,31.3,65.5,3.1,8.0,38.6,3.0,6.3,46.6,2.6,5.6,46.0,4.8,11.9,40.2,9.6,27.7,34.5
Minnesota Timberwolves,2019-20,20.5,34.3,59.8,3.3,8.9,37.1,1.6,4.3,37.0,1.1,3.1,35.5,5.1,14.9,34.2,8.7,25.6,34.1
New Orleans Pelicans,2019-20,21.0,33.8,61.9,2.7,7.6,35.6,2.3,5.9,39.3,2.0,5.5,36.4,6.4,16.3,39.3,8.2,22.5,36.3
New York Knicks,2019-20,19.5,33.3,58.6,3.6,8.9,40.0,2.6,6.5,40.0,3.4,8.9,38.4,5.2,14.0,36.7,5.7,17.3,32.7
Oklahoma City Thunder,2019-20,17.6,28.3,62.2,3.5,8.8,39.6,4.0,8.8,46.1,3.9,8.2,47.6,4.4,11.8,37.5,6.7,18.6,36.1
Orlando Magic,2019-20,17.5,28.9,60.7,3.5,9.1,38.5,3.4,8.4,40.1,3.1,8.2,37.7,4.2,11.8,36.1,7.5,22.0,33.9
Philadelphia 76ers,2019-20,18.3,29.1,62.8,4.0,9.5,42.7,3.1,8.1,38.5,3.2,7.5,41.8,4.3,11.1,38.8,7.9,22.1,35.6
Phoenix Suns,2019-20,18.9,31.0,61.1,3.2,7.9,41.1,4.0,8.9,45.3,2.6,6.4,41.0,5.1,13.9,36.8,6.8,19.4,35.0
Portland Trail Blazers,2019-20,17.6,29.8,58.9,3.0,7.5,39.8,3.9,8.8,44.4,3.9,8.7,44.9,5.9,14.9,39.5,6.8,19.0,36.0
Sacramento Kings,2019-20,17.5,28.5,61.6,4.1,10.0,41.1,2.7,6.7,39.7,2.7,5.8,46.4,5.5,15.2,36.4,7.7,21.1,36.4
San Antonio Spurs,2019-20,15.4,24.7,62.3,4.5,9.9,45.4,4.9,10.9,44.7,5.3,12.0,44.6,5.5,13.7,40.3,6.4,18.0,35.8
Toronto Raptors,2019-20,20.6,34.8,59.3,2.6,6.7,38.4,1.5,4.2,36.5,1.4,4.0,35.7,5.6,14.5,38.6,8.6,23.5,36.5
Utah Jazz,2019-20,17.8,28.3,62.8,4.4,10.7,41.2,2.7,6.3,42.8,1.6,3.7,43.9,6.8,16.6,40.6,6.8,18.2,37.2
Washington Wizards,2019-20,19.1,30.2,63.1,2.8,8.0,34.6,3.2,7.9,40.3,4.0,9.9,40.1,4.1,11.0,37.2,8.4,22.9,36.8
